{'loss': 2.6657, 'learning_rate': 2.5e-06, 'epoch': 0.01}
{'loss': 2.2415, 'learning_rate': 5e-06, 'epoch': 0.01}
{'loss': 1.9688, 'learning_rate': 7.5e-06, 'epoch': 0.02}
{'loss': 1.7713, 'learning_rate': 1e-05, 'epoch': 0.02}
{'loss': 1.6263, 'learning_rate': 1.25e-05, 'epoch': 0.03}
{'loss': 1.5168, 'learning_rate': 1.5e-05, 'epoch': 0.04}
{'loss': 1.4286, 'learning_rate': 1.75e-05, 'epoch': 0.04}
{'loss': 1.3672, 'learning_rate': 2e-05, 'epoch': 0.05}
{'loss': 1.3096, 'learning_rate': 2.25e-05, 'epoch': 0.06}
{'loss': 1.2572, 'learning_rate': 2.5e-05, 'epoch': 0.06}
{'loss': 1.2113, 'learning_rate': 2.7500000000000004e-05, 'epoch': 0.07}
{'loss': 1.1774, 'learning_rate': 3e-05, 'epoch': 0.07}
{'loss': 1.142, 'learning_rate': 3.2500000000000004e-05, 'epoch': 0.08}
{'loss': 1.1129, 'learning_rate': 3.5e-05, 'epoch': 0.09}
{'loss': 1.0855, 'learning_rate': 3.7500000000000003e-05, 'epoch': 0.09}
{'loss': 1.0543, 'learning_rate': 4e-05, 'epoch': 0.1}
{'loss': 1.0414, 'learning_rate': 4.25e-05, 'epoch': 0.1}
{'loss': 1.0251, 'learning_rate': 4.5e-05, 'epoch': 0.11}
{'loss': 1.0025, 'learning_rate': 4.75e-05, 'epoch': 0.12}
{'loss': 0.9892, 'learning_rate': 5e-05, 'epoch': 0.12}
{'loss': 0.9736, 'learning_rate': 4.989294370551811e-05, 'epoch': 0.13}
{'loss': 0.9614, 'learning_rate': 4.978588741103622e-05, 'epoch': 0.14}
{'loss': 0.9487, 'learning_rate': 4.967883111655433e-05, 'epoch': 0.14}
{'loss': 0.9384, 'learning_rate': 4.957177482207244e-05, 'epoch': 0.15}
{'loss': 0.9252, 'learning_rate': 4.9464718527590555e-05, 'epoch': 0.15}
{'loss': 0.9108, 'learning_rate': 4.935766223310866e-05, 'epoch': 0.16}
{'loss': 0.9052, 'learning_rate': 4.925060593862677e-05, 'epoch': 0.17}
{'loss': 0.8982, 'learning_rate': 4.914354964414488e-05, 'epoch': 0.17}
{'loss': 0.8856, 'learning_rate': 4.9036493349662985e-05, 'epoch': 0.18}
{'loss': 0.8783, 'learning_rate': 4.89294370551811e-05, 'epoch': 0.18}
{'loss': 0.8739, 'learning_rate': 4.882238076069921e-05, 'epoch': 0.19}
{'loss': 0.8671, 'learning_rate': 4.871532446621732e-05, 'epoch': 0.2}
{'loss': 0.8615, 'learning_rate': 4.860826817173543e-05, 'epoch': 0.2}
{'loss': 0.8582, 'learning_rate': 4.850121187725354e-05, 'epoch': 0.21}
{'loss': 0.8512, 'learning_rate': 4.839415558277165e-05, 'epoch': 0.22}
{'loss': 0.8485, 'learning_rate': 4.8287099288289755e-05, 'epoch': 0.22}
{'loss': 0.8458, 'learning_rate': 4.8180042993807864e-05, 'epoch': 0.23}
{'loss': 0.8322, 'learning_rate': 4.807298669932598e-05, 'epoch': 0.23}
{'loss': 0.8299, 'learning_rate': 4.796593040484408e-05, 'epoch': 0.24}
{'loss': 0.8282, 'learning_rate': 4.78588741103622e-05, 'epoch': 0.25}
{'loss': 0.8209, 'learning_rate': 4.775181781588031e-05, 'epoch': 0.25}
{'loss': 0.8244, 'learning_rate': 4.764476152139841e-05, 'epoch': 0.26}
{'loss': 0.8166, 'learning_rate': 4.7537705226916526e-05, 'epoch': 0.26}
{'loss': 0.8102, 'learning_rate': 4.7430648932434635e-05, 'epoch': 0.27}
{'loss': 0.807, 'learning_rate': 4.7323592637952744e-05, 'epoch': 0.28}
{'loss': 0.8047, 'learning_rate': 4.721653634347085e-05, 'epoch': 0.28}
{'loss': 0.8016, 'learning_rate': 4.710948004898896e-05, 'epoch': 0.29}
{'loss': 0.7992, 'learning_rate': 4.700242375450707e-05, 'epoch': 0.3}
{'loss': 0.7967, 'learning_rate': 4.689536746002518e-05, 'epoch': 0.3}
{'loss': 0.7956, 'learning_rate': 4.678831116554329e-05, 'epoch': 0.31}
{'loss': 0.7868, 'learning_rate': 4.6681254871061406e-05, 'epoch': 0.31}
{'loss': 0.789, 'learning_rate': 4.657419857657951e-05, 'epoch': 0.32}
{'loss': 0.7867, 'learning_rate': 4.646714228209762e-05, 'epoch': 0.33}
{'loss': 0.7783, 'learning_rate': 4.636008598761573e-05, 'epoch': 0.33}
{'loss': 0.7814, 'learning_rate': 4.625302969313384e-05, 'epoch': 0.34}
{'loss': 0.7752, 'learning_rate': 4.614597339865195e-05, 'epoch': 0.34}
{'loss': 0.7766, 'learning_rate': 4.603891710417006e-05, 'epoch': 0.35}
{'loss': 0.7697, 'learning_rate': 4.593186080968817e-05, 'epoch': 0.36}
{'loss': 0.7722, 'learning_rate': 4.582480451520628e-05, 'epoch': 0.36}
{'loss': 0.7704, 'learning_rate': 4.571774822072439e-05, 'epoch': 0.37}
{'loss': 0.7625, 'learning_rate': 4.56106919262425e-05, 'epoch': 0.38}
