{'loss': 55.2672, 'learning_rate': 2.5e-05, 'epoch': 0.01}
{'loss': 39.8739, 'learning_rate': 5e-05, 'epoch': 0.01}
{'loss': 37.9088, 'learning_rate': 7.5e-05, 'epoch': 0.02}
{'loss': 36.1118, 'learning_rate': 0.0001, 'epoch': 0.02}
{'loss': 34.1087, 'learning_rate': 0.000125, 'epoch': 0.03}
{'loss': 29.6244, 'learning_rate': 0.00015, 'epoch': 0.04}
{'loss': 21.5899, 'learning_rate': 0.000175, 'epoch': 0.04}
{'loss': 16.8088, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 14.4761, 'learning_rate': 0.00022500000000000002, 'epoch': 0.06}
{'loss': 12.9489, 'learning_rate': 0.00025, 'epoch': 0.06}
{'loss': 11.8135, 'learning_rate': 0.000275, 'epoch': 0.07}
{'loss': 10.9083, 'learning_rate': 0.0003, 'epoch': 0.07}
{'loss': 10.2381, 'learning_rate': 0.00032500000000000004, 'epoch': 0.08}
{'loss': 9.6793, 'learning_rate': 0.00035, 'epoch': 0.09}
{'loss': 9.2007, 'learning_rate': 0.000375, 'epoch': 0.09}
{'loss': 8.7838, 'learning_rate': 0.0004, 'epoch': 0.1}
{'loss': 8.4613, 'learning_rate': 0.000425, 'epoch': 0.1}
{'loss': 8.1982, 'learning_rate': 0.00045000000000000004, 'epoch': 0.11}
{'loss': 7.9771, 'learning_rate': 0.000475, 'epoch': 0.12}
{'loss': 7.7921, 'learning_rate': 0.0005, 'epoch': 0.12}
{'loss': 7.5934, 'learning_rate': 0.0004989294370551812, 'epoch': 0.13}
{'loss': 7.4123, 'learning_rate': 0.0004978588741103622, 'epoch': 0.14}
{'loss': 7.2539, 'learning_rate': 0.0004967883111655433, 'epoch': 0.14}
{'loss': 7.1082, 'learning_rate': 0.0004957177482207244, 'epoch': 0.15}
{'loss': 6.9663, 'learning_rate': 0.0004946471852759055, 'epoch': 0.15}
{'loss': 6.864, 'learning_rate': 0.0004935766223310865, 'epoch': 0.16}
{'loss': 6.7719, 'learning_rate': 0.0004925060593862677, 'epoch': 0.17}
{'loss': 6.6756, 'learning_rate': 0.0004914354964414488, 'epoch': 0.17}
{'loss': 6.5815, 'learning_rate': 0.0004903649334966299, 'epoch': 0.18}
{'loss': 6.5062, 'learning_rate': 0.000489294370551811, 'epoch': 0.18}
{'loss': 6.4411, 'learning_rate': 0.0004882238076069921, 'epoch': 0.19}
{'loss': 6.381, 'learning_rate': 0.00048715324466217316, 'epoch': 0.2}
{'loss': 6.3178, 'learning_rate': 0.00048608268171735426, 'epoch': 0.2}
{'loss': 6.2494, 'learning_rate': 0.00048501211877253537, 'epoch': 0.21}
{'loss': 6.2023, 'learning_rate': 0.0004839415558277165, 'epoch': 0.22}
{'loss': 6.1513, 'learning_rate': 0.0004828709928828975, 'epoch': 0.22}
{'loss': 6.1227, 'learning_rate': 0.00048180042993807863, 'epoch': 0.23}
{'loss': 6.0591, 'learning_rate': 0.0004807298669932598, 'epoch': 0.23}
{'loss': 6.0377, 'learning_rate': 0.00047965930404844084, 'epoch': 0.24}
{'loss': 5.9991, 'learning_rate': 0.00047858874110362194, 'epoch': 0.25}
{'loss': 5.9583, 'learning_rate': 0.00047751817815880305, 'epoch': 0.25}
{'loss': 5.9363, 'learning_rate': 0.0004764476152139841, 'epoch': 0.26}
{'loss': 5.9043, 'learning_rate': 0.0004753770522691652, 'epoch': 0.26}
{'loss': 5.8701, 'learning_rate': 0.0004743064893243463, 'epoch': 0.27}
{'loss': 5.8409, 'learning_rate': 0.00047323592637952747, 'epoch': 0.28}
{'loss': 5.8174, 'learning_rate': 0.0004721653634347085, 'epoch': 0.28}
{'loss': 5.789, 'learning_rate': 0.0004710948004898896, 'epoch': 0.29}
{'loss': 5.7621, 'learning_rate': 0.00047002423754507073, 'epoch': 0.3}
{'loss': 5.7399, 'learning_rate': 0.0004689536746002518, 'epoch': 0.3}
{'loss': 5.7344, 'learning_rate': 0.0004678831116554329, 'epoch': 0.31}
{'loss': 5.6961, 'learning_rate': 0.000466812548710614, 'epoch': 0.31}
{'loss': 5.6907, 'learning_rate': 0.0004657419857657951, 'epoch': 0.32}
{'loss': 5.6709, 'learning_rate': 0.0004646714228209762, 'epoch': 0.33}
{'loss': 5.6447, 'learning_rate': 0.0004636008598761573, 'epoch': 0.33}
{'loss': 5.636, 'learning_rate': 0.0004625302969313384, 'epoch': 0.34}
{'loss': 5.611, 'learning_rate': 0.00046145973398651946, 'epoch': 0.34}
{'loss': 5.5887, 'learning_rate': 0.00046038917104170056, 'epoch': 0.35}
{'loss': 5.5718, 'learning_rate': 0.00045931860809688167, 'epoch': 0.36}
{'loss': 5.5651, 'learning_rate': 0.0004582480451520628, 'epoch': 0.36}
{'loss': 5.5639, 'learning_rate': 0.0004571774822072439, 'epoch': 0.37}
{'loss': 5.5168, 'learning_rate': 0.000456106919262425, 'epoch': 0.38}
{'loss': 5.5092, 'learning_rate': 0.00045503635631760603, 'epoch': 0.38}
{'loss': 5.4899, 'learning_rate': 0.00045396579337278714, 'epoch': 0.39}
{'loss': 5.4797, 'learning_rate': 0.00045289523042796824, 'epoch': 0.39}
{'loss': 5.4765, 'learning_rate': 0.0004518246674831494, 'epoch': 0.4}
{'loss': 5.4681, 'learning_rate': 0.00045075410453833045, 'epoch': 0.41}
{'loss': 5.4489, 'learning_rate': 0.00044968354159351156, 'epoch': 0.41}
{'loss': 5.4331, 'learning_rate': 0.00044861297864869266, 'epoch': 0.42}
{'loss': 5.4223, 'learning_rate': 0.0004475424157038737, 'epoch': 0.43}
{'loss': 5.4082, 'learning_rate': 0.0004464718527590548, 'epoch': 0.43}
{'loss': 5.4138, 'learning_rate': 0.0004454012898142359, 'epoch': 0.44}
{'loss': 5.391, 'learning_rate': 0.000444330726869417, 'epoch': 0.44}
