{'loss': 2.6402, 'learning_rate': 2.5e-06, 'epoch': 0.01}
{'loss': 2.412, 'learning_rate': 5e-06, 'epoch': 0.01}
{'loss': 2.1998, 'learning_rate': 7.5e-06, 'epoch': 0.02}
{'loss': 2.0185, 'learning_rate': 1e-05, 'epoch': 0.03}
{'loss': 1.8794, 'learning_rate': 1.25e-05, 'epoch': 0.03}
{'loss': 1.7693, 'learning_rate': 1.5e-05, 'epoch': 0.04}
{'loss': 1.6749, 'learning_rate': 1.75e-05, 'epoch': 0.05}
{'loss': 1.595, 'learning_rate': 2e-05, 'epoch': 0.05}
{'loss': 1.5326, 'learning_rate': 2.25e-05, 'epoch': 0.06}
{'loss': 1.483, 'learning_rate': 2.5e-05, 'epoch': 0.06}
{'loss': 1.435, 'learning_rate': 2.7500000000000004e-05, 'epoch': 0.07}
{'loss': 1.3956, 'learning_rate': 3e-05, 'epoch': 0.08}
{'loss': 1.3568, 'learning_rate': 3.2500000000000004e-05, 'epoch': 0.08}
{'loss': 1.3269, 'learning_rate': 3.5e-05, 'epoch': 0.09}
{'loss': 1.2888, 'learning_rate': 3.7500000000000003e-05, 'epoch': 0.1}
{'loss': 1.2639, 'learning_rate': 4e-05, 'epoch': 0.1}
{'loss': 1.2379, 'learning_rate': 4.25e-05, 'epoch': 0.11}
{'loss': 1.213, 'learning_rate': 4.5e-05, 'epoch': 0.12}
{'loss': 1.1905, 'learning_rate': 4.75e-05, 'epoch': 0.12}
{'loss': 1.1743, 'learning_rate': 5e-05, 'epoch': 0.13}
{'loss': 1.1519, 'learning_rate': 4.988700667112614e-05, 'epoch': 0.14}
{'loss': 1.1396, 'learning_rate': 4.977401334225227e-05, 'epoch': 0.14}
{'loss': 1.1229, 'learning_rate': 4.966102001337841e-05, 'epoch': 0.15}
{'loss': 1.1029, 'learning_rate': 4.954802668450455e-05, 'epoch': 0.16}
{'loss': 1.1021, 'learning_rate': 4.9435033355630686e-05, 'epoch': 0.16}
{'loss': 1.0871, 'learning_rate': 4.9322040026756825e-05, 'epoch': 0.17}
{'loss': 1.0763, 'learning_rate': 4.920904669788296e-05, 'epoch': 0.18}
{'loss': 1.0618, 'learning_rate': 4.90960533690091e-05, 'epoch': 0.18}
{'loss': 1.0525, 'learning_rate': 4.898306004013523e-05, 'epoch': 0.19}
{'loss': 1.0497, 'learning_rate': 4.887006671126137e-05, 'epoch': 0.19}
{'loss': 1.0331, 'learning_rate': 4.875707338238751e-05, 'epoch': 0.2}
{'loss': 1.0306, 'learning_rate': 4.864408005351364e-05, 'epoch': 0.21}
{'loss': 1.0176, 'learning_rate': 4.853108672463978e-05, 'epoch': 0.21}
{'loss': 1.0127, 'learning_rate': 4.8418093395765917e-05, 'epoch': 0.22}
{'loss': 1.0102, 'learning_rate': 4.830510006689205e-05, 'epoch': 0.23}
