{'loss': 54.9504, 'learning_rate': 2.5e-05, 'epoch': 0.01}
{'loss': 18.6639, 'learning_rate': 5e-05, 'epoch': 0.01}
{'loss': 11.315, 'learning_rate': 7.5e-05, 'epoch': 0.02}
{'loss': 8.9924, 'learning_rate': 0.0001, 'epoch': 0.02}
{'loss': 7.8413, 'learning_rate': 0.000125, 'epoch': 0.03}
{'loss': 7.1716, 'learning_rate': 0.00015, 'epoch': 0.04}
{'loss': 6.705, 'learning_rate': 0.000175, 'epoch': 0.04}
{'loss': 6.3951, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 6.1553, 'learning_rate': 0.00022500000000000002, 'epoch': 0.06}
{'loss': 5.9755, 'learning_rate': 0.00025, 'epoch': 0.06}
{'loss': 5.8398, 'learning_rate': 0.000275, 'epoch': 0.07}
{'loss': 5.7356, 'learning_rate': 0.0003, 'epoch': 0.07}
{'loss': 5.6494, 'learning_rate': 0.00032500000000000004, 'epoch': 0.08}
{'loss': 5.5845, 'learning_rate': 0.00035, 'epoch': 0.09}
{'loss': 5.5599, 'learning_rate': 0.000375, 'epoch': 0.09}
{'loss': 5.5166, 'learning_rate': 0.0004, 'epoch': 0.1}
{'loss': 5.501, 'learning_rate': 0.000425, 'epoch': 0.1}
{'loss': 5.5074, 'learning_rate': 0.00045000000000000004, 'epoch': 0.11}
{'loss': 5.4862, 'learning_rate': 0.000475, 'epoch': 0.12}
{'loss': 5.5161, 'learning_rate': 0.0005, 'epoch': 0.12}
{'loss': 5.5285, 'learning_rate': 0.0004989294370551812, 'epoch': 0.13}
{'loss': 5.4867, 'learning_rate': 0.0004978588741103622, 'epoch': 0.14}
{'loss': 5.4479, 'learning_rate': 0.0004967883111655433, 'epoch': 0.14}
{'loss': 5.4382, 'learning_rate': 0.0004957177482207244, 'epoch': 0.15}
{'loss': 5.4151, 'learning_rate': 0.0004946471852759055, 'epoch': 0.15}
{'loss': 5.3661, 'learning_rate': 0.0004935766223310865, 'epoch': 0.16}
{'loss': 5.3596, 'learning_rate': 0.0004925060593862677, 'epoch': 0.17}
{'loss': 5.328, 'learning_rate': 0.0004914354964414488, 'epoch': 0.17}
{'loss': 5.2858, 'learning_rate': 0.0004903649334966299, 'epoch': 0.18}
{'loss': 5.281, 'learning_rate': 0.000489294370551811, 'epoch': 0.18}
{'loss': 5.2596, 'learning_rate': 0.0004882238076069921, 'epoch': 0.19}
{'loss': 5.2529, 'learning_rate': 0.00048715324466217316, 'epoch': 0.2}
{'loss': 5.2503, 'learning_rate': 0.00048608268171735426, 'epoch': 0.2}
{'loss': 5.2091, 'learning_rate': 0.00048501211877253537, 'epoch': 0.21}
{'loss': 5.1973, 'learning_rate': 0.0004839415558277165, 'epoch': 0.22}
{'loss': 5.1834, 'learning_rate': 0.0004828709928828975, 'epoch': 0.22}
{'loss': 5.1861, 'learning_rate': 0.00048180042993807863, 'epoch': 0.23}
{'loss': 5.1472, 'learning_rate': 0.0004807298669932598, 'epoch': 0.23}
{'loss': 5.1644, 'learning_rate': 0.00047965930404844084, 'epoch': 0.24}
{'loss': 5.139, 'learning_rate': 0.00047858874110362194, 'epoch': 0.25}
{'loss': 5.1125, 'learning_rate': 0.00047751817815880305, 'epoch': 0.25}
{'loss': 5.1133, 'learning_rate': 0.0004764476152139841, 'epoch': 0.26}
{'loss': 5.1007, 'learning_rate': 0.0004753770522691652, 'epoch': 0.26}
{'loss': 5.0751, 'learning_rate': 0.0004743064893243463, 'epoch': 0.27}
{'loss': 5.0622, 'learning_rate': 0.00047323592637952747, 'epoch': 0.28}
{'loss': 5.0484, 'learning_rate': 0.0004721653634347085, 'epoch': 0.28}
{'loss': 5.0495, 'learning_rate': 0.0004710948004898896, 'epoch': 0.29}
{'loss': 5.0372, 'learning_rate': 0.00047002423754507073, 'epoch': 0.3}
{'loss': 5.0346, 'learning_rate': 0.0004689536746002518, 'epoch': 0.3}
{'loss': 5.0218, 'learning_rate': 0.0004678831116554329, 'epoch': 0.31}
{'loss': 5.0029, 'learning_rate': 0.000466812548710614, 'epoch': 0.31}
{'loss': 5.0088, 'learning_rate': 0.0004657419857657951, 'epoch': 0.32}
{'loss': 5.0043, 'learning_rate': 0.0004646714228209762, 'epoch': 0.33}
{'loss': 4.9853, 'learning_rate': 0.0004636008598761573, 'epoch': 0.33}
{'loss': 4.9838, 'learning_rate': 0.0004625302969313384, 'epoch': 0.34}
{'loss': 4.9682, 'learning_rate': 0.00046145973398651946, 'epoch': 0.34}
{'loss': 4.9678, 'learning_rate': 0.00046038917104170056, 'epoch': 0.35}
{'loss': 4.9571, 'learning_rate': 0.00045931860809688167, 'epoch': 0.36}
{'loss': 4.9514, 'learning_rate': 0.0004582480451520628, 'epoch': 0.36}
{'loss': 4.9475, 'learning_rate': 0.0004571774822072439, 'epoch': 0.37}
{'loss': 4.9304, 'learning_rate': 0.000456106919262425, 'epoch': 0.38}
{'loss': 4.9249, 'learning_rate': 0.00045503635631760603, 'epoch': 0.38}
{'loss': 4.9149, 'learning_rate': 0.00045396579337278714, 'epoch': 0.39}
{'loss': 4.9076, 'learning_rate': 0.00045289523042796824, 'epoch': 0.39}
{'loss': 4.9214, 'learning_rate': 0.0004518246674831494, 'epoch': 0.4}
{'loss': 4.9029, 'learning_rate': 0.00045075410453833045, 'epoch': 0.41}
{'loss': 4.898, 'learning_rate': 0.00044968354159351156, 'epoch': 0.41}
{'loss': 4.8827, 'learning_rate': 0.00044861297864869266, 'epoch': 0.42}
{'loss': 4.882, 'learning_rate': 0.0004475424157038737, 'epoch': 0.43}
{'loss': 4.8847, 'learning_rate': 0.0004464718527590548, 'epoch': 0.43}
{'loss': 4.8722, 'learning_rate': 0.0004454012898142359, 'epoch': 0.44}
{'loss': 4.8965, 'learning_rate': 0.000444330726869417, 'epoch': 0.44}
