{'loss': 12.8096, 'learning_rate': 2.5e-05, 'epoch': 0.01}
{'loss': 9.0138, 'learning_rate': 5e-05, 'epoch': 0.01}
{'loss': 8.2745, 'learning_rate': 7.5e-05, 'epoch': 0.02}
{'loss': 7.9213, 'learning_rate': 0.0001, 'epoch': 0.02}
{'loss': 7.5607, 'learning_rate': 0.000125, 'epoch': 0.03}
{'loss': 7.1063, 'learning_rate': 0.00015, 'epoch': 0.04}
{'loss': 6.4633, 'learning_rate': 0.000175, 'epoch': 0.04}
{'loss': 5.6016, 'learning_rate': 0.0002, 'epoch': 0.05}
{'loss': 4.9701, 'learning_rate': 0.00022500000000000002, 'epoch': 0.06}
{'loss': 4.5289, 'learning_rate': 0.00025, 'epoch': 0.06}
{'loss': 4.2346, 'learning_rate': 0.000275, 'epoch': 0.07}
{'loss': 4.0286, 'learning_rate': 0.0003, 'epoch': 0.07}
{'loss': 3.8628, 'learning_rate': 0.00032500000000000004, 'epoch': 0.08}
{'loss': 3.7215, 'learning_rate': 0.00035, 'epoch': 0.09}
{'loss': 3.6046, 'learning_rate': 0.000375, 'epoch': 0.09}
{'loss': 3.5057, 'learning_rate': 0.0004, 'epoch': 0.1}
{'loss': 3.4403, 'learning_rate': 0.000425, 'epoch': 0.1}
{'loss': 3.3775, 'learning_rate': 0.00045000000000000004, 'epoch': 0.11}
{'loss': 3.3135, 'learning_rate': 0.000475, 'epoch': 0.12}
{'loss': 3.2713, 'learning_rate': 0.0005, 'epoch': 0.12}
{'loss': 3.2303, 'learning_rate': 0.0004989294370551812, 'epoch': 0.13}
{'loss': 3.1856, 'learning_rate': 0.0004978588741103622, 'epoch': 0.14}
{'loss': 3.151, 'learning_rate': 0.0004967883111655433, 'epoch': 0.14}
{'loss': 3.1212, 'learning_rate': 0.0004957177482207244, 'epoch': 0.15}
{'loss': 3.0923, 'learning_rate': 0.0004946471852759055, 'epoch': 0.15}
{'loss': 3.0664, 'learning_rate': 0.0004935766223310865, 'epoch': 0.16}
{'loss': 3.0465, 'learning_rate': 0.0004925060593862677, 'epoch': 0.17}
{'loss': 3.0236, 'learning_rate': 0.0004914354964414488, 'epoch': 0.17}
{'loss': 3.005, 'learning_rate': 0.0004903649334966299, 'epoch': 0.18}
{'loss': 2.9914, 'learning_rate': 0.000489294370551811, 'epoch': 0.18}
{'loss': 2.9786, 'learning_rate': 0.0004882238076069921, 'epoch': 0.19}
{'loss': 2.9673, 'learning_rate': 0.00048715324466217316, 'epoch': 0.2}
{'loss': 2.9476, 'learning_rate': 0.00048608268171735426, 'epoch': 0.2}
{'loss': 2.9405, 'learning_rate': 0.00048501211877253537, 'epoch': 0.21}
{'loss': 2.9305, 'learning_rate': 0.0004839415558277165, 'epoch': 0.22}
{'loss': 2.9181, 'learning_rate': 0.0004828709928828975, 'epoch': 0.22}
{'loss': 2.9113, 'learning_rate': 0.00048180042993807863, 'epoch': 0.23}
{'loss': 2.8966, 'learning_rate': 0.0004807298669932598, 'epoch': 0.23}
{'loss': 2.8915, 'learning_rate': 0.00047965930404844084, 'epoch': 0.24}
{'loss': 2.8811, 'learning_rate': 0.00047858874110362194, 'epoch': 0.25}
{'loss': 2.872, 'learning_rate': 0.00047751817815880305, 'epoch': 0.25}
{'loss': 2.8742, 'learning_rate': 0.0004764476152139841, 'epoch': 0.26}
{'loss': 2.8649, 'learning_rate': 0.0004753770522691652, 'epoch': 0.26}
{'loss': 2.8539, 'learning_rate': 0.0004743064893243463, 'epoch': 0.27}
{'loss': 2.8452, 'learning_rate': 0.00047323592637952747, 'epoch': 0.28}
{'loss': 2.8408, 'learning_rate': 0.0004721653634347085, 'epoch': 0.28}
{'loss': 2.8345, 'learning_rate': 0.0004710948004898896, 'epoch': 0.29}
{'loss': 2.8274, 'learning_rate': 0.00047002423754507073, 'epoch': 0.3}
{'loss': 2.8246, 'learning_rate': 0.0004689536746002518, 'epoch': 0.3}
{'loss': 2.8311, 'learning_rate': 0.0004678831116554329, 'epoch': 0.31}
{'loss': 2.8157, 'learning_rate': 0.000466812548710614, 'epoch': 0.31}
{'loss': 2.8184, 'learning_rate': 0.0004657419857657951, 'epoch': 0.32}
{'loss': 2.8107, 'learning_rate': 0.0004646714228209762, 'epoch': 0.33}
{'loss': 2.8069, 'learning_rate': 0.0004636008598761573, 'epoch': 0.33}
{'loss': 2.8007, 'learning_rate': 0.0004625302969313384, 'epoch': 0.34}
{'loss': 2.7927, 'learning_rate': 0.00046145973398651946, 'epoch': 0.34}
{'loss': 2.7963, 'learning_rate': 0.00046038917104170056, 'epoch': 0.35}
{'loss': 2.7887, 'learning_rate': 0.00045931860809688167, 'epoch': 0.36}
{'loss': 2.7878, 'learning_rate': 0.0004582480451520628, 'epoch': 0.36}
{'loss': 2.7884, 'learning_rate': 0.0004571774822072439, 'epoch': 0.37}
{'loss': 2.7747, 'learning_rate': 0.000456106919262425, 'epoch': 0.38}
{'loss': 2.7728, 'learning_rate': 0.00045503635631760603, 'epoch': 0.38}
{'loss': 2.7692, 'learning_rate': 0.00045396579337278714, 'epoch': 0.39}
{'loss': 2.7656, 'learning_rate': 0.00045289523042796824, 'epoch': 0.39}
{'loss': 2.7721, 'learning_rate': 0.0004518246674831494, 'epoch': 0.4}
{'loss': 2.7672, 'learning_rate': 0.00045075410453833045, 'epoch': 0.41}
{'loss': 2.76, 'learning_rate': 0.00044968354159351156, 'epoch': 0.41}
{'loss': 2.7554, 'learning_rate': 0.00044861297864869266, 'epoch': 0.42}
{'loss': 2.7564, 'learning_rate': 0.0004475424157038737, 'epoch': 0.43}
{'loss': 2.7523, 'learning_rate': 0.0004464718527590548, 'epoch': 0.43}
{'loss': 2.7549, 'learning_rate': 0.0004454012898142359, 'epoch': 0.44}
{'loss': 2.75, 'learning_rate': 0.000444330726869417, 'epoch': 0.44}
{'loss': 2.7494, 'learning_rate': 0.00044326016392459813, 'epoch': 0.45}
{'loss': 2.7412, 'learning_rate': 0.00044218960097977924, 'epoch': 0.46}
{'loss': 2.7432, 'learning_rate': 0.00044111903803496034, 'epoch': 0.46}
{'loss': 2.7426, 'learning_rate': 0.0004400484750901414, 'epoch': 0.47}
{'loss': 2.7345, 'learning_rate': 0.0004389779121453225, 'epoch': 0.47}
{'loss': 2.7379, 'learning_rate': 0.0004379073492005036, 'epoch': 0.48}
{'loss': 2.739, 'learning_rate': 0.0004368367862556847, 'epoch': 0.49}
{'loss': 2.731, 'learning_rate': 0.0004357662233108658, 'epoch': 0.49}
{'loss': 2.7398, 'learning_rate': 0.0004346956603660469, 'epoch': 0.5}
{'loss': 2.7343, 'learning_rate': 0.00043362509742122797, 'epoch': 0.51}
{'loss': 2.7318, 'learning_rate': 0.0004325545344764091, 'epoch': 0.51}
{'loss': 2.7256, 'learning_rate': 0.0004314839715315902, 'epoch': 0.52}
{'loss': 2.7282, 'learning_rate': 0.0004304134085867713, 'epoch': 0.52}
{'loss': 2.728, 'learning_rate': 0.0004293428456419524, 'epoch': 0.53}
{'loss': 2.727, 'learning_rate': 0.0004282722826971335, 'epoch': 0.54}
